label,input
gastroesophageal reflux disease,"I have a burning sensation in my chest that comes and goes. I feel like food or acid is backing up in my throat. My chest discomfort only becomes worse while I'm lying down. After eating, I frequently have heartburn or indigestion and throw up."
psoriasis,"I have small dents in my nails. My joints are hurting a lot. I have a silver like dusting on my skin, especially on my back."
peptic ulcer disease,I have a sour taste in my mouth. I burp and belch a lot. My upper abdomen feels full or pressured.
typhoid,"I've had a high fever, especially at night. It's been really bad. I've also had a headache, constipation, and diarrhea. I don't want to eat anything."
drug reaction,I have severe nausea and chest discomfort. I have been having chest discomfort lately. I often shiver a lot and feel really nervous. I have been taking a new medication for my high blood pressure.
arthritis,My muscles have been weak and my neck is tight. I have swollen joints that make it hard to move and walking is painful.
dengue,"I have a rash all over my body. It's red and swollen, and it's worse in some places, like my arms and legs. I also don't feel like eating."
cervical spondylosis,"I have been having back pain, a productive cough, and muscle weakness. I also have dizziness and uneven balance, and my neck hurts."
peptic ulcer disease,I have a sour taste in my mouth and I've been belching a lot. My upper abdomen feels full and pressed in.
common cold,I have a bad cold. I've been sneezing a lot and I have a sore throat. I also have a lot of mucus in my nose and throat. My neck is a little swollen and it hurts when I swallow.
varicose veins,I have dark purple veins on my legs. They look like they are bulging out. I also get cramps when I run or sprint.
hypertension,"I've been having a headache and chest pain all day, and I'm also feeling dizzy and unsteady on my feet."
urinary tract infection,"I have to go to the bathroom a lot, but only a few drops of urine come out. I have severe stomach pains and an overwhelming urge to urinate."
urinary tract infection,"I have to constantly go to the bathroom to pee, but I can't seem to empty my bladder. I get these very strong and uncontrollable urges to pee and sometimes my pee is dark or bloody."
varicose veins,"I have these bulging veins on my legs that are very noticeable and are causing me a lot of discomforts. They are swollen and protrude from my skin, making them visible through my clothing."
dengue,I have been experiencing severe joint pain and headaches for the past few days. I also have a mild fever and chills. 
hypertension,"I've been having a headache that feels like a tight band around my head, and I've also been having chest pain and dizziness."
gastroesophageal reflux disease,"I'm having trouble eating, and it's hard to swallow. I feel full even after eating a small meal. I also have nausea, heartburn, and a tingling sensation in my throat."
impetigo,"I have a rash around my nose, and it's spreading to other parts of my body. I also have a high fever every night."
gastroesophageal reflux disease,"I belch and burp a lot. I get chest pain that goes to my arm, jaw, and back of my neck. I feel pressure and stress in my chest."
malaria,"I've been feeling really sick. I have a high fever, chills, and severe itching. I've also been vomiting and having a headache. I'm also sweating a lot and feeling nauseous and achy."
diabetes,"I have a cough that won't go away, and I'm always sneezing. I also have palpitations, and my infections don't seem to be healing. My throat hurts sometimes, but it usually gets better."
common cold,"I've been coughing a lot, and I feel cold and shivery. My nose is stuffy, and I feel pressure in my face. I have a lot of phlegm, and coughing hurts my chest. I can't smell anything, and my muscles hurt."
impetigo,I have a rash on my face. I have small sores around my nose and they are very painful. Sometimes a yellow fluid comes out of the sores.
allergy,I have a stuffy nose and a blocked nose. I also have stiffness and chest pain at night. I can't taste or smell anything.
dengue,I have a skin rash that is red and swollen. I also have a severe fever and body pain.
arthritis,"I've been having a lot of pain in my joints, especially my knees and hips. It's hard for me to move around and I'm always feeling stiff. I've also been having a lot of trouble sleeping because of the pain."
chicken pox,I have a lot of small red bumps all over my body. They're itchy and uncomfortable. I'm worried about what they could be.
fungal infection,"I have a rash that looks red and inflamed, discoloured areas of skin that are different colours from the rest of my skin, and itching on my skin."
allergy,"I feel tired all the time, and my throat feels tingly. I also have dry, flaky skin. Sometimes my eyes get puffy, and my face swells up too."
common cold,I've been feeling really run down lately. I've been having a lot of trouble breathing and my nose is constantly running. I also have a lot of throat mucus and my lymph nodes are inflamed.
jaundice,"I've been feeling really itchy, sick to my stomach, and tired. I've also had a fever and lost weight. My skin and urine have turned yellow, and my stomach hurts."
common cold,"I've had a nasty cough and cold for days. My nose is stuffy and my sinuses are congested. I've also been coughing up mucus, and it hurts my chest to cough. I can't smell anything and my muscles are aching."
